Node,intreface,ip,network
,F1/6,10.10.83.2,10.10.83.0
,F1/7,10.10.90.2,10.10.90.0
,F1/8,10.10.96.2,10.10.96.0
,F1/9,10.10.101.2,10.10.101.0
,F1/10,10.10.105.2,10.10.105.0
,F1/11,10.10.109.1,10.10.109.0
,F1/12,10.10.110.1,10.10.110.0
,F1/13,10.10.111.1,10.10.111.0
R13,F1/0,10.10.21.2,10.10.21.0
,F1/1,10.10.34.2,10.10.34.0
,F1/2,10.10.46.2,10.10.46.0
,F1/3,10.10.57.2,10.10.57.0
,F1/4,10.10.67.2,10.10.67.0
,F1/5,10.10.76.2,10.10.76.0
,F1/6,10.10.84.1,10.10.84.0
,F1/7,10.10.91.2,10.10.91.0
,F1/8,10.10.97.2,10.10.97.2
,F1/9,10.10.102.2,10.10.102.0
,F1/10,10.10.106.2,10.10.106.0
,F1/11,10.10.109.2,10.10.109.0
,F1/12,10.10.112.1,10.10.112.0
,F1/13,10.10.113.1,10.10.113.0
R14,F1/0,10.10.22.2,10.10.22.0
,F1/1,10.10.35.2,10.10.35.0
,F1/2,10.10.47.2,10.10.47.0
,F1/3,10.10.58.2,10.10.58.0
,F1/4,10.10.68.2,10.10.68.0
,F1/5,10.10.77.2,10.10.77.0
,F1/6,10.10.85.2,10.10.85.0
,F1/7,10.10.92.2,10.10.92.0
,F1/8,10.10.98.2,10.10.98.0
,F1/9,10.10.103.2,10.10.103.0
,F1/10,10.10.107.2,10.10.107.0
,F1/11,10.10.110.2,10.10.110.0
,F1/12,10.10.112.2,10.10.112.0
,F1/13,10.10.114.1,10.10.114.0
R15,F1/0,10.10.23.2,10.10.23.0
,F1/1,10.10.36.2,10.10.36.0
,F1/2,10.10.48.2,10.10.48.0
,F1/3,10.10.59.2,10.10.59.0
,F1/4,10.10.69.2,10.10.69.0
,F1/5,10.10.78.2,10.10.78.0
,F1/6,10.10.86.2,10.10.86.0
,F1/7,10.10.93.2,10.10.93.0
,F1/8,10.10.99.2,10.10.99.0
,F1/9,10.10.104.2,10.10.104.0
,F1/10,10.10.108.2,10.10.108.0
,F1/11,10.10.111.2,10.10.111.0
,F1/12,10.10.113.2,10.10.113.0
,F1/13,10.10.114.2,10.10.114.0
